review_id,senti
eGoX3Fl_ZSUwS1kmBLDiGg,2
KcWsC224shMpJ8VIJKVk9Q,1
87t9GRMt4uRT8fuzWKJKww,1
G_ULJp2I7cb08nGaTke8Vg,2
RgFMek95vCljhEI4LheQVA,2
GnZ-4JxaLwUSe05UBWLXgw,2
uRuAcb7VT2Pe7wW2OCQ2Ew,2
3YdGJCAinoOeHsdnda7cnQ,2
ztIdw9cKDbvvnrpkHwFDwA,1
M0eMmY_GLdOATEctI_YMOw,2
HGWjiP3dUFmDgpxgwMFbvw,2
i_H-tmdAbCFRulHWFUJ--Q,1
bLfgyr2lYry9XNrRbmB_aQ,2
GAval9D4uPI_royt4-rkqQ,0
Ug2NhNUnDUruYwIQ5s2IIw,2
-zTd3XOw9KJzkQt6HuRSIg,2
H2sxr4q4fEBlPSclyem17A,2
EcHf3T29kiYnOhpERngSlw,2
AFxTtZqHoLhFO9EPwRtfYw,1
h2sZ5uRfywJQNRTbBx-nAw,2
S_-UwRSw_9e78WOgf-uATQ,2
_IfG0-Y2-ohjbxNMWPbBFw,2
k6mTaJICSJ_XyYMG019XUg,2
Gaig2Rm863RQbg1WtffL0Q,2
UWhImTU8K0WS2j7DD-w9PA,2
1p5h-zEzmInQCLwV_V52VQ,2
67b5oA1bGPAZe878Cjn0BQ,2
0avFtSq6hI3_lMkCX-S9oA,2
d5NvbxMjoJaYi_GWVQ4l8g,2
65UKFrFmJMZ2lXhcUgTkww,2
AM3fGS96uqfVoK9TP2_s4Q,2
eC2ZZEbF5TZ84TPl5kxgPw,1
2zg0FF1oyVCt5YvKpN1zSA,2
rqgboyKB68TRV22O7jAiaw,0
D0KEGW9to49FQeGawPS02g,1
yBw28gWgogis_o6vyg32kA,2
NUlT_ApSci9ozSUUw9pD8w,2
kxwSvuT07FL3tGcM74axdw,2
rpm84EXAPoSbHEcD_JZYNA,1
UQEGpR9DKSW-ZQVKLqL9IA,2
NAvJFknpF1YwXpX-9QWuKA,2
PScEDLW44_0maKPAwVIlbQ,2
o40MazChjifm4gtLUq3Pcw,2
uyDDsJD2-0Wtpnp5zvhnNg,2
4JqK8LvNffhK5FptBjyz0A,1
nxoIh-qFr0otCHMTyJmnZg,2
3CFpYoSUOgCjJpRbe4xz_Q,1
hlj1sQQ0MS7UfUGofiGSWQ,0
UMNXXCIZhYcvEC5swBJnxg,2
4GtlKlBDlLPV2W4xArss3Q,2
LcJoTSr1nKHuyT9_q71IgA,1
a5wajTG5OHd_85m_TeISuw,2
9PTrFT6hCth9OXBYCxnsdQ,2
DKG0ROETWuPI1bZ2nu4tcg,0
ZRJdBj-ZeOOQw6wmlu50jg,2
IHjpVi2blCHGeX-qdGaiZw,2
glSw3okEFErb-lNV527JJg,0
cD0Ef7oIMKiPuhbcx7foQQ,0
MJBSNAOmdyXRlXicGSU4ng,2
kkNeavyF_A5YPpiW_DGSVA,2
tsSQUB576D0hsdMLQIzfkw,0
oFUUzW2dX2QAwHOIm7s0YQ,2
RjmSET_xYJtaptkllGWfIw,2
fEwiURYnIavjIIF4-6yCwQ,1
xg2WowkWp7xDBIiuH9b4bA,1
eUw3040F6nVlnFPs-iGp5Q,1
0rza0TBHtpr5NfhzVHbYuA,2
GHi1cMPeySci8v6k2U2L_A,2
7kvVHru54sxUi1BG4AeIGA,2
p94zUCJ-wt25bv2cu2owZw,1
AA536BjvwcsQiQQDipJPGw,2
cj9BHymrt7zNnFkUJTMc-w,2
qNCNadsVN9Tary_64PmFkg,0
M6oS5_lbpJQoFNae6B8R8Q,2
q0ak6Pd5Rx-xOT9G8WjDUQ,2
r4cgWjfeqV6kVJq1NMuwtA,2
dYQKx0GTIp7CbMf_NeXV-Q,2
t09-qpBhRyltVs83BMSZlA,1
Q9-K_MJ_mIiAvS2Ngf4XKg,2
MWYsq3JtqLR80xnZaYAzRA,2
YAtZtST4t_j7NHjVUymR4g,2
aCItLtz00ahi7qtcf8SRbQ,1
WumXFfHxpsqG62DC4HptZQ,2
P46RMx12oQbabvFLvVcDeA,2
4nt9ELBM8d9EFg3Rfji91A,2
KOP3sttNa_HDhdqWQ0lkkg,1
rrNo95yjZjQMvrCYGqhkag,2
sK4QFEqAiOe_OGqleFF-MQ,2
KuS9i6HPjUw0HQa5xso_OA,2
Egsacp-3tivsH5UAFuVGrA,0
IOPJQcmhqjTr72nslZwEWg,1
XXM1cAmb1VW_e2CVA6nsqA,1
tZV7iiZfQX1cLT3m232x9w,0
rrxjDyb6qiYVmqurRW6jCg,1
fmqmRmLq6wotAkzcI6EAUA,2
7B0MNK5gH14JgiePMby5eg,1
je4UymDxVYri0cS5oAfKNw,2
aTQQVXEEOBmqxfD2m7Ef8A,2
7F0rWHlDmqgyyQ0R6BvmOw,2
g2yM_F-3VrJEoQyTdmFjkQ,2
gN1OkS72PyMSY7LvD7DFPA,2
4d-ID58r-diWyyPooYtoaA,2
IAZtsier168nMEDKfchctA,0
C9Xk4gWg7QBcCIOwoe8hHQ,2
lhbGUm-YXw4lBoHrqg0iYA,2
yE020yu8tGtIXLmugZpWsg,2
hdExC3LKcro5osWt8Ia2oA,2
mSpfHfLt7Rl6thEqxFTT8Q,2
Rkqfnx19qiIAS6nU_jZB1w,0
WZJAKDDv_39-F1TzoO07Yw,0
Un3BOLIAL0cRcj0jKA7BxA,0
Fdw7wo4xRyQmvhULPU3f2A,0
_bacr32jsvU8gVAVi-ny3w,2
9YyNzabnm5qx60oAhDJQ-w,2
kbJ6U2xAuSg5ra7nq9vvig,1
ZuCaKNSjMGXmFJcx6Ceqmg,2
VdQKt-bnsPWKc952bcD6ew,2
Iu7xGYpxGLVs7uRjhoPV0Q,2
dY7hqJFTwGw4GWAN2eJvOA,2
Bk3RVxM2IgiaBzld6GNf7Q,0
2VJrMXPb5_YizM6vrUD4uw,2
rLzF4SoP4RPWE51fgc5SNA,2
ZdEPK7t3nJNhWsOlsvxBIw,1
kcoOeK_7eXlCA1vvs-XQMw,1
wzBtrdIkmwqi7QcD_r9rHA,0
ScN7Qq4gJdm7JOnmUNnO1g,0
iDPnFu_27PC62aVoIlAkcw,0
HPnso3cLJp5EhKt4kPLkuQ,1
1D42ZgPlMiUB_oi3tHxxlg,2
cwJAey4zEm_QNLYic8BkCw,1
zn01fs9KvbRJ3yBXVQkDZQ,2
KK_DK7N6uyRErXlF85w4yQ,0
MwRxc-VwwUM1m_eNq3cRtw,2
mnP4ikb6WsCpxvahwJIiYQ,2
qK1muLfs4h6aJQPgubPzZQ,2
lptJwu5AgEO_mUXx5wwyaw,1
P1z6_g-pX0ly2nUia9cdtA,1
bhGOexcK-Aj10F2WviSx2g,2
8awejOqEXR0lZhwRnEk0cw,2
HQYJHXkF0KKnnx_n083YTg,2
K-3zVl0uXE-kub1LppQIdQ,2
23R8_MKXfIAnZ0B5V1AhPw,2
0blbT4Ykt4rd9QvRMTh5KQ,2
Tz0iVHKOMUcaVDlXtgIt9Q,2
ahUdxrq95xJNv5tRoS3x4Q,2
XibN1tpmiAbnMYi4HbyuXA,0
U930tSP7--9tMfiOM8HSsw,2
fuL6eRa-S7oL9_pNF6aI9w,0
JtA_GPoOola2-7SO6MD2wg,2
oME6uidUHWdBPcSxRU5Z1A,2
TlENHOnXTpIWX_4sQPPT3Q,0
k-gBvMDbG6he1px4IsDiBw,0
u5L5xD35ZmMYKIXFHaEfXw,2
nMhyUU0ljxH2NHV_6fsx8g,2
gwHlZRr8YPjSaukpWy6TSw,0
dy_4P8L_JHZVygsH3OMBlw,2
g5Qf_KrXzESUs-y7FtGXKw,2
5pktICAjEIa6aSMYsvfbbg,2
mZYctz779fPMRGNUnfQDZw,1
